DateTime,production_kWh,demand_kWh,spot_price_rp_per_kWh,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-08-30 04:45:00,552.7,875.272,9.4470728,322.57200007340265,0.0,7.415361387041639e-08,7.904762894574445e-10,3799.999999992009,322.5720000013418,2.913502579716495e-11,1.7928564489743155e-09,5.054763921706394e-10,200.00000005682577,3047.3611679365395,3047.361167254047,112.90020002569092,112.90020000046962
2024-08-30 05:00:00,552.7,873.328,10.07512,320.6279999999118,0.0,1.4273552328935295e-09,1.5952171649747295e-09,3799.99999999177,320.6280000012903,2.9226557456888515e-11,1.7446784586888716e-09,5.090099031635982e-10,200.0000000579742,3230.365575359172,3230.36557537275,112.21979999996913,112.21980000045158
2024-08-30 05:15:00,592.8,972.16,10.07512,379.3600000004428,0.0,1.7088051198701833e-09,1.3326383219939764e-09,3799.9999999920606,379.36000000131304,2.8619643256419096e-11,1.7803487687042092e-09,5.2204450494192e-10,200.0000000591435,3822.0975232045225,3822.0975232129867,132.776000000155,132.77600000045956
2024-08-30 05:30:00,593.1,927.888,10.07512,334.78800000106673,0.0,2.1492875864713293e-09,1.1395534842452308e-09,3799.999999992963,334.7880000011829,2.9080172511679956e-11,1.6557540520299842e-09,5.283396611034205e-10,200.0000000601881,3373.0292745708134,3373.029274571669,117.17580000037334,117.17580000041401
2024-08-30 05:45:00,833.4,934.968,10.07512,101.56800000211057,0.0,3.0417123579484167e-09,9.801360608383696e-10,3799.9999999948723,101.56800000142101,2.853467689088933e-11,1.9982861530508805e-09,6.376760019372948e-10,200.00000006144882,1023.3097881813447,1023.3097881740821,35.548800000738694,35.54880000049735
2024-08-30 06:00:00,953.4,1032.568,10.625956,79.16799999946429,0.0,1.1831566023644908e-09,1.8093345925445523e-09,3799.999999994187,79.16800000200077,2.844589521784531e-11,2.614806142868106e-09,6.763069388188904e-10,200.00000006325658,841.2356846023673,841.2356846290236,27.7087999998125,27.70880000070027
2024-08-30 06:15:00,953.4,1099.78,10.625956,146.38000000016353,0.0,1.4738113748509167e-09,1.379223971713461e-09,3799.9999999942074,146.38000000079478,2.939749923990203e-11,1.3506149331206108e-09,6.160292103670477e-10,200.00000006392364,1555.427439281795,1555.4274392881723,51.23300000005723,51.23300000027817
2024-08-30 06:30:00,953.5,1188.496,10.625956,234.996000000913,0.0,1.971423859165355e-09,1.1142155764597915e-09,3799.9999999949664,234.99600000085638,2.992673654353283e-11,1.376035507037833e-09,5.786031388022673e-10,200.00000006465226,2497.0571561857632,2497.0571561848215,82.24860000031954,82.24860000029973
2024-08-30 06:45:00,1073.4,1379.58,10.625956,306.18000000245274,0.0,3.319458700517104e-09,9.122030851976149e-10,3799.999999997208,306.18000000094634,2.934702960455836e-11,1.4453303395905467e-09,5.559764228882009e-10,200.00000006546935,3253.4552081061474,3253.455208089784,107.16300000085846,107.16300000033121
2024-08-30 07:00:00,1073.5,1332.448,11.7944816,0.0,148.70422970316935,6.606373097967834e-10,429.107610214558,3370.892389783277,258.94800000082034,2.978711782738339e-11,1.3480777397624792e-09,5.869624457141086e-10,200.00000006616307,-1745.3071488719,3054.1574213661625,0.0,90.63180000028711
