DateTime,cost_opt__grid_import_kWh,cost_opt__grid_export_kWh,cost_opt__battery_charge_kWh,cost_opt__battery_discharge_kWh,cost_opt__battery_soc_kWh,emissions_opt__grid_import_kWh,emissions_opt__grid_export_kWh,emissions_opt__battery_charge_kWh,emissions_opt__battery_discharge_kWh,emissions_opt__battery_soc_kWh,cost_opt__step_cost_rp,emissions_opt__step_cost_rp,cost_opt__step_emissions_kgco2,emissions_opt__step_emissions_kgco2
2024-02-21 05:00:00,77.96400010776672,0.0,1.0891191982130566e-07,1.2054090792472556e-09,3799.9999993941146,60.920582682318454,2.9864924300931905e-09,2.779984638150157e-08,17.94043931417666,1912.3943187865036,408.2355651504911,319.3515293358536,27.287400037718353,21.32220393881146
2024-02-21 05:15:00,5.768000130317286,0.0,1.3146011715835237e-07,1.2030115425153923e-09,3799.999999517798,3.5114654369951976,2.966547986291623e-09,2.8727445221390447e-08,2.375299573367184,1910.0190192404398,30.202436893021417,18.43426236649531,2.0188000456110498,1.229012902948319
2024-02-21 05:30:00,0.8200001712531597,0.0,1.723932060923583e-07,1.1999817166948208e-09,3799.9999996803717,0.4922932929281958,2.7524410931879795e-09,2.2808508760982157e-07,0.34495467148344133,1909.6740647856343,4.293689820188686,2.5846481777693984,0.2870000599386059,0.1723026525248685
2024-02-21 05:45:00,37.08400033516971,0.0,3.363055000732418e-07,1.1953839655870317e-09,3799.9999999986667,25.46284491418177,2.989848178470934e-09,2.7099803480711048e-08,12.232794858850227,1897.4412699525458,194.1794650657677,133.57335719877162,12.979400117309398,8.911995719963619
2024-02-21 06:00:00,124.87999999516798,0.0,1.2542233931392855e-09,6.406694124652321e-09,3799.9999999934516,104.52352132248187,2.9782368405218557e-09,2.8277376368191984e-08,21.42787232502511,1876.0133976543993,782.6341991698705,655.486872673314,43.70799999830879,36.58323246286865
2024-02-21 06:15:00,280.39999999842536,0.0,1.5335879337816972e-09,3.2716394022082665e-09,3799.9999999916367,259.216611900486,2.9571005157622097e-09,2.8997882144191902e-08,22.298303296283013,1853.715094385653,1757.2920359902275,1624.97980232339,98.13999999944888,90.72581416517009
2024-02-21 06:30:00,343.52399999963194,0.0,1.858368410464226e-09,2.3435259075129874e-09,3799.9999999910588,320.3305432561077,2.9430766045794934e-09,2.9236640064554502e-08,24.414165027444092,1829.3009293859845,2152.8958251577774,2008.0286276176091,120.23339999987117,112.11569013963769
2024-02-21 06:45:00,367.3600000005567,0.0,2.316993402153543e-09,1.8528416081411373e-09,3799.999999991407,343.04758696074634,2.9395815206913894e-09,2.928307324596459e-08,25.592013759448644,1803.708915654354,2302.278182403572,2150.4219420231757,128.57600000019482,120.06665543626121
2024-02-21 07:00:00,0.0,229.20767785893034,9.892734275805583e-10,422.2354503788627,3377.7645496134837,150.8239154496891,2.977853896384301e-09,2.871912359078796e-08,22.202194296850326,1781.5067213847772,-1537.008687647248,1017.3878679383522,0.0,52.788370407391184
2024-02-21 07:15:00,0.0,404.3715945873221,9.890199741130349e-10,406.934310092959,2970.8302395214655,3.075245936370939e-08,3.334168496849088e-09,17.784000056747058,3.087227459558275e-08,1798.401521407845,-2718.373183746653,0.35568018662268047,0.0,1.0763360777298286e-08
